frame,id,x,y
12,9,655,813
12,2,1300,515
12,10,955,622
12,7,856,618
12,5,1686,494
12,6,1527,477
12,8,886,666
12,1,1811,651
12,4,1582,541
12,3,1620,620
13,9,661,809
13,2,1306,517
13,10,962,619
13,7,860,617
13,5,1686,495
13,6,1530,476
13,8,891,664
13,1,1819,652
13,4,1584,542
13,3,1624,620
14,9,665,805
14,2,1309,518
14,10,968,616
14,7,862,617
14,5,1684,496
14,6,1532,477
14,8,892,662
14,1,1828,652
14,4,1585,541
14,3,1629,618
14,11,1588,778
15,9,667,802
15,2,1310,519
15,10,976,613
15,7,866,617
15,5,1683,496
15,6,1534,478
15,8,892,663
15,1,1836,651
15,4,1587,540
15,3,1633,616
15,11,1588,777
16,9,668,800
16,2,1311,519
16,10,984,612
16,7,868,617
16,5,1684,496
16,6,1538,480
16,8,893,664
16,1,1843,650
16,4,1589,541
16,3,1637,614
16,11,1586,776
17,9,672,798
17,2,1312,515
17,10,994,610
17,7,872,610
17,5,1685,495
17,6,1541,481
17,8,895,665
17,1,1850,648
17,4,1587,541
17,3,1637,613
17,11,1582,776
18,9,676,795
18,2,1320,516
18,10,1002,607
18,7,876,605
18,5,1684,493
18,6,1543,481
18,8,898,665
18,1,1858,647
18,4,1588,541
18,3,1637,613
18,11,1578,776
19,9,682,791
19,2,1328,516
19,10,1008,604
19,7,881,603
19,5,1682,493
19,6,1545,482
19,8,902,663
19,1,1866,647
19,4,1588,537
19,3,1636,614
19,11,1579,775
