frame,id,x,y
7,20,320,552
7,13,1727,354
7,8,1139,511
7,4,939,221
7,9,897,607
7,10,1144,376
7,2,1680,492
7,15,1319,851
7,14,374,396
7,21,333,829
7,16,299,468
7,7,739,373
7,18,773,426
7,6,952,297
7,11,1023,170
7,12,848,267
7,19,451,233
7,5,1494,248
7,3,573,115
7,17,882,168
7,1,911,180
8,20,320,549
8,13,1726,354
8,8,1137,511
8,4,938,221
8,9,892,607
8,10,1144,376
8,2,1681,492
8,15,1321,851
8,14,371,396
8,21,326,828
8,16,297,466
8,7,738,372
8,18,769,426
8,6,954,297
8,11,1019,170
8,12,843,268
8,19,448,233
8,5,1495,248
8,3,572,115
8,17,878,168
8,1,910,180
9,20,319,547
9,13,1725,354
9,8,1135,511
9,4,937,222
9,9,885,607
9,10,1144,376
9,2,1682,492
9,15,1324,850
9,14,367,395
9,21,321,827
9,16,297,464
9,7,736,371
9,18,767,424
9,6,954,297
9,11,1017,171
9,12,837,269
9,19,444,233
9,5,1497,248
9,3,572,116
9,17,874,168
9,1,909,180
10,20,315,546
10,13,1724,354
10,8,1134,511
10,4,937,223
10,9,879,608
10,10,1144,376
10,2,1682,492
10,15,1326,850
10,14,364,395
10,21,317,825
10,16,298,462
10,7,735,370
10,18,766,422
10,6,955,297
10,11,1015,171
10,12,833,269
10,19,441,232
10,5,1497,249
10,3,572,117
10,17,871,168
10,1,908,180
11,20,312,545
11,13,1723,354
11,8,1132,512
11,4,935,223
11,9,875,607
11,10,1144,377
11,2,1684,493
11,15,1327,849
11,14,363,394
11,21,315,821
11,16,300,459
11,7,734,370
11,18,764,421
11,6,955,297
11,11,1014,170
11,12,831,269
11,19,440,231
11,5,1497,250
11,3,570,118
11,17,867,168
11,1,905,180
12,20,311,544
12,13,1724,354
12,8,1130,512
12,4,933,223
12,9,873,606
12,10,1145,379
12,2,1685,493
12,15,1328,848
12,14,362,392
12,21,313,817
12,16,301,456
12,7,732,370
12,18,763,421
12,6,957,297
12,11,1013,169
12,12,829,269
12,19,439,230
12,5,1497,250
12,3,568,118
12,17,863,168
12,1,904,179
